country,crop_type,disease_name,avg_disease_probability,avg_yield_loss_percent,avg_economic_loss_usd_per_hectare,avg_food_security_impact_score,records
Mexico,Barley,Barley Mosaic Virus,0.7126303030303031,50.344848484848484,20443.785454545457,70.11060606060606,33
Mexico,Carrot,Carrot Mosaic Virus,0.7101641025641026,51.28487179487179,17706.835128205126,70.84025641025642,39
Mexico,Guava,Guava Mosaic Virus,0.7030552631578948,50.05657894736842,20162.177894736844,68.41,38
Mexico,Rice,Rice Tungro Virus,0.7028241379310345,49.6551724137931,20850.48551724138,70.1444827586207,29
Mexico,Cotton,Cotton Leaf Curl Virus,0.6997020408163266,50.281020408163265,22985.88918367347,70.00204081632653,49
Kenya,Banana,Panama Disease,0.6989469387755102,48.84122448979591,20381.62020408163,67.21408163265306,49
Papua New Guinea,Banana,Panama Disease,0.6966423076923077,47.464999999999996,19990.520576923074,64.38865384615384,52
Mexico,Cauliflower,Cauliflower Mosaic Virus,0.6948342857142856,49.578857142857146,18926.431428571428,68.78571428571429,35
Papua New Guinea,Potato,Late Blight,0.6947439024390244,49.020487804878044,19006.06243902439,65.44829268292683,41
Mexico,Cocoa,Cocoa Mosaic Virus,0.6945378378378378,49.45351351351351,19212.155135135134,69.03405405405405,37
Vietnam,Banana,Panama Disease,0.6939310344827586,47.80896551724138,18759.414655172415,64.08672413793104,58
Indonesia,Banana,Panama Disease,0.6914262295081968,47.967213114754095,19898.548524590162,64.7195081967213,61
Mexico,Pea,Pea Mosaic Virus,0.6909189189189189,48.86,18156.205405405406,68.90486486486486,37
Iran,Cotton,Cotton Leaf Curl Virus,0.6902999999999999,48.21140350877193,17659.48894736842,68.28087719298246,57
Morocco,Tomato,Tomato Yellow Leaf Curl Virus,0.6882764705882353,47.44764705882353,19782.10382352941,67.96970588235295,34
Mexico,Okra,Okra Mosaic Virus,0.6880894736842106,49.83894736842105,19876.46815789474,69.36578947368422,38
Mexico,Tomato,Bacterial Wilt,0.6852162162162163,48.95243243243243,17935.044864864867,68.57405405405405,37
Ghana,Banana,Panama Disease,0.6851618181818182,48.458181818181814,21261.185999999998,65.80036363636364,55
Thailand,Tomato,Tomato Yellow Leaf Curl Virus,0.6821176470588235,47.185,19217.372647058826,66.09794117647058,34
Bangladesh,Banana,Panama Disease,0.6816928571428571,45.731607142857136,15742.045892857142,62.309821428571425,56
South Africa,Tomato,Tomato Yellow Leaf Curl Virus,0.6807323529411765,48.63794117647059,20917.588529411765,68.36441176470588,34
Mexico,Garlic,Garlic Mosaic Virus,0.6806078947368421,49.090526315789475,18831.899210526317,68.17105263157895,38
Ethiopia,Tomato,Tomato Yellow Leaf Curl Virus,0.6799621621621622,46.324864864864864,16918.566216216215,64.19513513513515,37
Indonesia,Rice,Rice Blast,0.6798793103448276,48.91172413793104,18218.548620689657,65.0303448275862,29
Egypt,Garlic,Garlic Mosaic Virus,0.6798433333333332,50.19566666666666,19851.746666666666,69.82066666666667,30
Mexico,Banana,Panama Disease,0.6785599999999999,48.239,18491.7148,67.8292,50
Colombia,Banana,Panama Disease,0.6779235294117647,47.93333333333333,19008.284705882354,65.76588235294118,51
India,Rice,Rice Blast,0.6776029411764706,46.131470588235295,18386.21676470588,64.38,34
Ethiopia,Banana,Panama Disease,0.6774241935483871,47.607419354838704,19921.90193548387,64.79403225806452,62
Pakistan,Cauliflower,Cauliflower Mosaic Virus,0.6773114285714286,49.026857142857146,17792.018571428573,69.30685714285714,35
Australia,Carrot,Carrot Mosaic Virus,0.6772837209302326,48.24116279069767,17486.42558139535,68.51232558139534,43
Mexico,Canola,Canola Mosaic Virus,0.6770153846153847,47.121538461538464,18989.581025641026,66.66538461538461,39
Brazil,Cotton,Cotton Leaf Curl Virus,0.6769471698113207,47.77679245283019,18778.478113207548,65.72283018867924,53
Thailand,Banana,Panama Disease,0.676871875,48.22265625,21720.611875,66.06375,64
Mexico,Tomato,Tomato Yellow Leaf Curl Virus,0.6767522727272728,48.205,19556.381363636363,66.73681818181818,44
Nigeria,Cotton,Cotton Leaf Curl Virus,0.676626,47.577799999999996,19911.2072,64.99340000000001,50
Egypt,Barley,Barley Mosaic Virus,0.6757193548387096,47.969032258064516,22487.454838709677,67.44967741935484,31
South Africa,Cotton,Cotton Leaf Curl Virus,0.6745233333333334,47.775666666666666,17524.609333333334,67.82283333333334,60
Brazil,Rice,Rice Blast,0.6743842105263158,47.47289473684211,19174.07,64.90105263157893,38
Brazil,Carrot,Carrot Mosaic Virus,0.6743542857142857,47.90657142857143,21858.824857142856,66.04971428571429,35
Indonesia,Potato,Late Blight,0.6741450980392156,47.08862745098039,21170.169215686274,63.15588235294117,51
Mexico,Sorghum,Sorghum Mosaic Virus,0.673367441860465,47.825581395348834,19086.751395348838,66.85883720930232,43
Brazil,Potato,Late Blight,0.6729843137254903,47.60647058823529,19620.96137254902,65.05333333333333,51
Colombia,Tomato,Tomato Yellow Leaf Curl Virus,0.6728951219512195,45.73853658536585,17443.691219512195,63.94853658536585,41
Mexico,Millet,Millet Mosaic Virus,0.6716457142857143,49.53628571428571,16436.86457142857,68.48257142857142,35
Colombia,Okra,Okra Mosaic Virus,0.67127,49.05925,19228.29025,66.40675,40
Mexico,Mung Bean,Mung Bean Mosaic Virus,0.670997619047619,46.9602380952381,19769.768333333333,66.79857142857142,42
Nigeria,Tomato,Tomato Yellow Leaf Curl Virus,0.6707121212121212,47.119393939393944,19702.847878787878,65.19515151515152,33
Pakistan,Millet,Millet Mosaic Virus,0.6703806451612904,48.42967741935484,19001.946129032258,67.90483870967742,31
Egypt,Cotton,Cotton Leaf Curl Virus,0.6702673469387755,47.381020408163266,19119.073469387753,66.89408163265306,49
Colombia,Rice,Rice Blast,0.6700820512820512,45.14769230769231,19610.133846153847,63.48564102564103,39
Ghana,Potato,Late Blight,0.6700425925925926,47.15611111111111,18077.623888888887,65.2262962962963,54
Brazil,Banana,Panama Disease,0.6697311111111112,46.47866666666667,18958.316,64.08133333333333,45
Bangladesh,Potato,Late Blight,0.6696830188679246,47.06415094339623,21885.345471698114,62.71433962264151,53
Kenya,Sorghum,Sorghum Mosaic Virus,0.6692636363636364,46.513939393939395,17979.894545454546,64.2390909090909,33
Bangladesh,Tomato,Bacterial Wilt,0.6685342857142856,45.962857142857146,19099.097142857143,62.322,35
Nigeria,Banana,Panama Disease,0.668168,46.0366,19332.8796,63.648,50
India,Cotton,Cotton Leaf Curl Virus,0.6678905660377359,47.484716981132074,18266.576226415094,65.3554716981132,53
Australia,Tomato,Tomato Yellow Leaf Curl Virus,0.6674777777777778,48.692,19719.242000000002,67.64866666666667,45
Nigeria,Potato,Late Blight,0.6672173076923078,47.355576923076924,16420.80692307692,64.96057692307691,52
Brazil,Tomato,Tomato Yellow Leaf Curl Virus,0.6671722222222223,46.12972222222223,21195.911944444444,63.239444444444445,36
Pakistan,Barley,Barley Mosaic Virus,0.6666216216216216,48.28108108108108,21128.109189189192,67.66,37
Nigeria,Chickpea,Ascochyta Blight,0.665825,46.92166666666667,18818.452314814815,64.38101851851852,108
Vietnam,Potato,Late Blight,0.6657304347826087,47.02565217391304,17443.335652173915,63.74065217391305,46
India,Pea,Pea Mosaic Virus,0.6656333333333334,48.49666666666667,16635.27545454545,65.63060606060606,33
Iran,Cauliflower,Cauliflower Mosaic Virus,0.6654714285714286,46.28885714285714,16303.122000000001,65.77428571428571,35
Kenya,Tomato,Tomato Yellow Leaf Curl Virus,0.6653780487804878,46.2190243902439,17158.00243902439,64.42170731707317,41
Mexico,Potato,Late Blight,0.6652491525423728,48.111355932203395,18910.390847457627,67.10338983050848,59
Iran,Tomato,Tomato Yellow Leaf Curl Virus,0.6648325581395349,47.51395348837209,20961.85395348837,66.83348837209303,43
Mexico,Pomegranate,Pomegranate Mosaic Virus,0.6647938775510204,47.710408163265306,18693.512857142858,66.90877551020408,49
Pakistan,Carrot,Carrot Mosaic Virus,0.6644448275862068,47.69862068965517,20818.21793103448,67.07655172413793,29
South Africa,Rice,Rice Tungro Virus,0.6639565217391304,46.38173913043478,17970.80804347826,65.48086956521739,46
Thailand,Canola,Canola Mosaic Virus,0.663675,46.32611111111111,18511.4575,63.583333333333336,36
Indonesia,Tomato,Bacterial Wilt,0.6634170731707317,46.29463414634146,19144.982195121953,62.91878048780488,41
Bangladesh,Sugarcane,Red Rot,0.6632744680851064,47.04276595744681,19910.7085106383,63.17063829787234,47
Egypt,Millet,Millet Mosaic Virus,0.6627136363636363,47.92136363636364,16843.449318181818,67.47409090909092,44
Egypt,Pomegranate,Pomegranate Mosaic Virus,0.6623048780487805,47.296341463414635,21222.41512195122,66.46243902439025,41
