year,continent,country,total_estimated_economic_loss_usd_per_hectare,avg_yield_loss_percent,avg_food_security_impact_score
2026,Africa,Egypt,2651692.17,40.833175675675676,59.20878378378378
2026,Africa,Ethiopia,2808879.03,43.865405405405404,61.18412162162162
2026,Africa,Ghana,2688027.94,42.031621621621625,59.21695945945946
2026,Africa,Kenya,2673003.96,43.90067567567568,60.81324324324325
2026,Africa,Morocco,2712477.59,42.053243243243244,60.12560810810811
2026,Africa,Nigeria,2773772.69,44.33175675675676,61.3772972972973
2026,Africa,South Africa,2613843.65,40.215202702702705,58.699121621621615
2026,Asia,Bangladesh,2726160.74,44.076283783783786,60.12405405405406
2026,Asia,China,2866063.46,40.77905405405406,56.90067567567567
2026,Asia,India,2579499.6,43.572162162162165,60.8
2026,Asia,Indonesia,2470387.4,42.75655405405406,58.6222972972973
2026,Asia,Iran,2610966.05,40.87891891891892,59.423986486486484
2026,Asia,Pakistan,2658298.85,40.91155405405405,59.17993243243243
2026,Asia,Thailand,2851326.5100000002,43.74648648648648,61.22459459459459
2026,Asia,Turkey,2605699.91,39.75972972972973,55.97668918918919
2026,Asia,Vietnam,2579430.99,43.69358108108108,59.46648648648648
2026,Europe,France,2683566.55,40.63560810810811,56.63986486486487
2026,Europe,Germany,2557193.87,40.33560810810811,57.03567567567568
2026,Europe,Italy,2805558.45,40.53689189189189,56.83871621621621
2026,Europe,Spain,2901370.11,40.62885135135135,57.23425675675676
2026,Europe,Ukraine,2673071.62,39.78074324324324,56.675337837837844
2026,North America,Canada,2669719.12,37.99554054054054,53.116283783783786
2026,North America,Mexico,2696086.93,44.195,62.884121621621624
2026,North America,USA,2590482.4,41.83128378378378,58.25547297297297
2026,Oceania,Australia,2571470.92,41.03418918918919,59.5152027027027
2026,Oceania,New Zealand,2684478.48,41.95628378378378,58.237229729729734
2026,Oceania,Papua New Guinea,2932803.55,43.520135135135135,59.31716216216216
2026,South America,Argentina,2462484.88,39.913513513513514,56.258918918918916
2026,South America,Brazil,2809688.44,42.49952702702703,59.12141891891891
2026,South America,Colombia,2715433.99,43.3456081081081,60.89304054054054
2029,Africa,Egypt,2672177.81,40.87898648648649,59.33155405405405
2029,Africa,Ethiopia,2707439.38,44.08493243243243,61.105405405405406
2029,Africa,Ghana,2805090.14,44.44202702702703,61.447297297297304
2029,Africa,Kenya,2667288.52,44.119527027027026,61.11310810810811
2029,Africa,Morocco,2866311.82,41.641824324324325,59.763513513513516
2029,Africa,Nigeria,2634036.0100000002,43.520405405405405,60.44121621621621
2029,Africa,South Africa,2778456.85,41.655270270270265,59.890472972972965
2029,Asia,Bangladesh,2735052.33,42.7168918918919,58.32432432432432
2029,Asia,China,3068072.65,39.7927027027027,56.072162162162165
2029,Asia,India,2678007.76,43.36844594594594,60.68277027027027
2029,Asia,Indonesia,2852242.56,43.369662162162165,58.855405405405406
2029,Asia,Iran,2509428.53,40.58635135135135,59.10108108108108
2029,Asia,Pakistan,2847720.04,41.273648648648646,59.80385135135135
2029,Asia,Thailand,2661498.15,43.402567567567566,60.08567567567568
2029,Asia,Turkey,2639433.97,41.153851351351356,57.88905405405406
2029,Asia,Vietnam,2708932.76,44.1179054054054,59.80378378378378
2029,Europe,France,2713956.55,40.93418918918919,57.25364864864866
2029,Europe,Germany,2578602.71,40.523648648648646,57.43655405405406
2029,Europe,Italy,2700958.94,40.14202702702703,56.72513513513513
2029,Europe,Spain,2513868.41,40.42594594594595,56.611216216216214
2029,Europe,Ukraine,2801147.16,41.33810810810811,58.04594594594594
2029,North America,Canada,2527891.26,38.445810810810805,53.30067567567568
2029,North America,Mexico,2868324.55,43.90817567567567,62.09371621621622
2029,North America,USA,2826418.58,39.78709459459459,56.346081081081074
2029,Oceania,Australia,2558028.17,41.62885135135135,60.13263513513513
2029,Oceania,New Zealand,2824604.14,41.590067567567566,58.22533783783784
2029,Oceania,Papua New Guinea,2828020.5100000002,43.336824324324326,59.30047297297297
2029,South America,Argentina,2479206.1,39.62844594594595,55.75763513513513
2029,South America,Brazil,2662669.42,43.207770270270274,60.310743243243245
2029,South America,Colombia,2783287.3,44.141351351351354,61.39364864864865
2030,Africa,Egypt,2474421.69,42.197094594594596,61.03682432432433
2030,Africa,Ethiopia,2564735.19,43.31641891891892,60.07189189189189
2030,Africa,Ghana,2533818.41,43.042567567567566,60.07912162162162
2030,Africa,Kenya,2785633.16,44.263851351351356,61.27513513513513
2030,Africa,Morocco,2716897.83,41.52108108108108,60.15844594594595
2030,Africa,Nigeria,2947075.7199999997,43.0293918918919,59.98817567567568
2030,Africa,South Africa,2855524.19,41.932567567567574,60.069527027027036
2030,Asia,Bangladesh,2904755.51,43.630067567567565,59.16128378378379
2030,Asia,China,2630046.45,40.939527027027026,57.48662162162162
2030,Asia,India,2657636.57,44.28472972972973,61.34452702702703
2030,Asia,Indonesia,2821118.0,44.64628378378378,60.667432432432435
2030,Asia,Iran,2580624.2,40.6625,59.009594594594596
2030,Asia,Pakistan,2879735.7,41.87493243243243,60.20155405405406
2030,Asia,Thailand,2671954.84,43.946824324324325,61.24141891891892
2030,Asia,Turkey,2552274.11,40.46331081081081,56.817567567567565
2030,Asia,Vietnam,2609470.39,43.12101351351351,58.68682432432432
2030,Europe,France,2634611.58,40.54385135135135,57.20290540540541
2030,Europe,Germany,2741014.31,41.16864864864865,57.86567567567568
2030,Europe,Italy,2740019.11,39.407229729729735,55.59513513513514
2030,Europe,Spain,2489126.78,40.77378378378378,57.02412162162162
2030,Europe,Ukraine,2808714.45,41.08216216216216,57.523513513513514
2030,North America,Canada,2543568.45,38.487972972972976,53.7747972972973
2030,North America,Mexico,2677404.92,43.50094594594595,62.31121621621621
2030,North America,USA,2652588.62,40.85493243243243,57.012229729729725
2030,Oceania,Australia,2628112.71,41.37121621621621,59.58986486486486
2030,Oceania,New Zealand,2709103.13,40.32736486486486,56.83709459459459
2030,Oceania,Papua New Guinea,2729245.4,42.6,58.17641891891892
2030,South America,Argentina,2422659.32,39.995067567567574,56.766283783783784
2030,South America,Brazil,2686504.4,43.77439189189189,60.97135135135135
2030,South America,Colombia,2785378.84,42.611554054054054,60.094189189189194
2032,Africa,Egypt,2713930.11,42.181554054054054,60.818378378378384
2032,Africa,Ethiopia,2804022.45,43.902905405405406,60.75405405405406
2032,Africa,Ghana,2788191.55,43.47087837837837,60.473108108108114
2032,Africa,Kenya,2706194.8,44.237162162162164,61.35682432432432
2032,Africa,Morocco,2513118.03,41.25445945945946,59.71628378378379
2032,Africa,Nigeria,2813967.35,43.99378378378378,61.06540540540541
2032,Africa,South Africa,2592952.42,39.990675675675675,58.15371621621622
2032,Asia,Bangladesh,2543307.86,42.700067567567565,58.38945945945945
2032,Asia,China,2518836.6,40.443445945945946,57.03263513513514
2032,Asia,India,2777919.62,43.71054054054054,60.885405405405415
2032,Asia,Indonesia,2965778.13,43.34851351351351,58.9081081081081
2032,Asia,Iran,2832658.11,41.91614864864865,60.321351351351346
2032,Asia,Pakistan,2572320.71,39.76736486486486,58.08432432432432
2032,Asia,Thailand,2847716.45,43.645675675675676,60.45344594594595
2032,Asia,Turkey,2481773.21,40.22554054054054,56.70898648648649
2032,Asia,Vietnam,2903129.45,43.07804054054054,59.01722972972973
2032,Europe,France,2850008.36,40.406283783783785,56.95932432432432
2032,Europe,Germany,2660879.84,40.663783783783785,56.915
2032,Europe,Italy,2624986.82,39.96554054054054,56.328108108108104
2032,Europe,Spain,2645794.04,41.2097972972973,57.4558108108108
2032,Europe,Ukraine,2623761.99,40.946689189189186,57.679121621621626
