year,country,crop_type,projected_disease_probability,projected_yield_loss_percent,projected_outbreak_risk_90_days,projected_food_security_impact_score
2030,Argentina,Apple,0.494375,35.6125,0.5358499999999999,48.79
2030,Argentina,Banana,0.630275,44.33,0.665625,58.3025
2030,Argentina,Barley,0.54495,37.5225,0.60145,54.9925
2030,Argentina,Cabbage,0.548075,39.905,0.589475,55.77
2030,Argentina,Canola,0.47945,33.22,0.56355,48.7
2030,Argentina,Carrot,0.606275,41.915,0.6784,59.4725
2030,Argentina,Cauliflower,0.55915,41.1475,0.582475,59.07
2030,Argentina,Chickpea,0.525925,38.894999999999996,0.595575,56.5725
2030,Argentina,Chili,0.626325,40.4675,0.657175,60.735
2030,Argentina,Citrus,0.6083999999999999,37.145,0.642775,55.55
2030,Argentina,Cocoa,0.575075,40.375,0.607225,58.61
2030,Argentina,Coffee,0.584375,43.36,0.605875,59.7425
2030,Argentina,Cotton,0.6666,41.8925,0.702175,57.0775
2030,Argentina,Cucumber,0.552975,37.18,0.6068250000000001,54.315
2030,Argentina,Eggplant,0.5413749999999999,35.445,0.6194999999999999,53.1125
2030,Argentina,Garlic,0.5354,36.9025,0.55175,52.5725
2030,Argentina,Grapes,0.613075,39.8875,0.652725,57.075
2030,Argentina,Groundnut,0.494,33.14,0.4988,50.0025
2030,Argentina,Guava,0.6083000000000001,42.21,0.669475,59.855000000000004
2030,Argentina,Lentil,0.676925,44.655,0.722375,61.8475
2030,Argentina,Maize,0.6375500000000001,46.865,0.675675,65.5075
2030,Argentina,Mango,0.6346499999999999,45.4875,0.706575,62.1475
2030,Argentina,Millet,0.5423,35.4325,0.620925,52.2025
2030,Argentina,Mung Bean,0.59135,42.155,0.600175,60.8925
2030,Argentina,Okra,0.53865,34.64,0.5914,51.685
2030,Argentina,Onion,0.6204000000000001,44.0625,0.6998,60.0575
2030,Argentina,Pea,0.4671,32.855,0.497425,46.552499999999995
2030,Argentina,Pomegranate,0.550575,38.6075,0.62915,55.53
2030,Argentina,Potato,0.5347,37.7875,0.56675,55.6
2030,Argentina,Rice,0.55065,41.12,0.568325,57.1075
2030,Argentina,Sorghum,0.4678,35.629999999999995,0.52565,48.735
2030,Argentina,Soybean,0.61005,44.582499999999996,0.669275,59.5925
2030,Argentina,Sugarcane,0.54825,38.4475,0.640875,53.3125
2030,Argentina,Sunflower,0.665475,47.2,0.725175,65.92999999999999
2030,Argentina,Tea,0.583325,40.72,0.6174999999999999,58.7875
2030,Argentina,Tomato,0.5848,40.545,0.627775,58.665000000000006
2030,Argentina,Wheat,0.6381,48.4725,0.63095,65.8825
2030,Australia,Apple,0.48435,38.2975,0.5413,54.0725
2030,Australia,Banana,0.615225,42.6575,0.6765,60.597500000000004
2030,Australia,Barley,0.6506,46.3425,0.7141500000000001,66.37
2030,Australia,Cabbage,0.57235,42.86,0.6472249999999999,60.995000000000005
2030,Australia,Canola,0.6352,48.835,0.7239,66.41
2030,Australia,Carrot,0.5285,35.8125,0.598525,52.4325
2030,Australia,Cauliflower,0.54515,39.894999999999996,0.581825,58.21
2030,Australia,Chickpea,0.644225,42.475,0.70385,63.0025
2030,Australia,Chili,0.53845,43.405,0.6114999999999999,61.1575
2030,Australia,Citrus,0.617575,42.1175,0.63395,60.875
2030,Australia,Cocoa,0.5621,39.1275,0.608425,55.5675
2030,Australia,Coffee,0.54915,38.74,0.5730999999999999,59.335
2030,Australia,Cotton,0.612175,40.7525,0.6852,58.975
2030,Australia,Cucumber,0.643775,42.9875,0.67145,62.62
2030,Australia,Eggplant,0.632275,44.4925,0.720425,61.9525
2030,Australia,Garlic,0.426725,31.69,0.494225,49.1275
2030,Australia,Grapes,0.54375,37.485,0.572675,56.4825
2030,Australia,Groundnut,0.538875,38.855,0.62385,57.0125
2030,Australia,Guava,0.67775,51.9575,0.73565,71.975
2030,Australia,Lentil,0.539025,35.9675,0.578975,54.575
2030,Australia,Maize,0.47575,34.8325,0.5051749999999999,49.010000000000005
2030,Australia,Mango,0.5906,46.82,0.684275,66.1525
2030,Australia,Millet,0.58575,46.7625,0.643425,66.1
2030,Australia,Mung Bean,0.54355,37.74,0.5889,56.8475
2030,Australia,Okra,0.542525,38.42,0.645325,57.144999999999996
2030,Australia,Onion,0.5776,42.4125,0.6450750000000001,60.075
2030,Australia,Pea,0.602525,41.685,0.66425,59.235
2030,Australia,Pomegranate,0.6052500000000001,42.6075,0.6073999999999999,57.7125
2030,Australia,Potato,0.61265,42.695,0.653625,59.8575
2030,Australia,Rice,0.572175,39.4025,0.65715,57.44
2030,Australia,Sorghum,0.6387499999999999,47.6775,0.705275,66.77000000000001
2030,Australia,Soybean,0.580875,43.365,0.633075,61.8475
2030,Australia,Sugarcane,0.5102,38.0675,0.49505,56.845
2030,Australia,Sunflower,0.568975,43.005,0.598875,59.025
2030,Australia,Tea,0.5708,41.1225,0.5493750000000001,60.707499999999996
2030,Australia,Tomato,0.500725,34.4225,0.5262249999999999,54.682500000000005
2030,Australia,Wheat,0.58975,44.945,0.5851,63.6275
2030,Bangladesh,Apple,0.5693,40.6575,0.627325,57.6525
2030,Bangladesh,Banana,0.68845,48.82,0.715025,65.255
2030,Bangladesh,Barley,0.498275,32.675,0.5259,46.0475
2030,Bangladesh,Cabbage,0.6608,48.370000000000005,0.6779999999999999,64.4975
2030,Bangladesh,Canola,0.642825,48.5375,0.667025,65.32499999999999
2030,Bangladesh,Carrot,0.707375,47.805,0.7592,64.58250000000001
2030,Bangladesh,Cauliflower,0.66855,43.455,0.735425,60.26
2030,Bangladesh,Chickpea,0.67855,49.13,0.751425,63.067499999999995
2030,Bangladesh,Chili,0.5554250000000001,38.6375,0.6158250000000001,52.5225
2030,Bangladesh,Citrus,0.6152500000000001,43.667500000000004,0.6351,58.71
2030,Bangladesh,Cocoa,0.6386,42.2125,0.6803,58.957499999999996
2030,Bangladesh,Coffee,0.6264000000000001,38.519999999999996,0.659075,53.94
2030,Bangladesh,Cotton,0.59355,40.925,0.64115,55.515
2030,Bangladesh,Cucumber,0.604375,42.455,0.6766,57.802499999999995
2030,Bangladesh,Eggplant,0.66625,48.2,0.75465,63.1975
2030,Bangladesh,Garlic,0.56925,39.0825,0.59495,53.4725
2030,Bangladesh,Grapes,0.5987750000000001,42.8875,0.608725,59.947500000000005
2030,Bangladesh,Groundnut,0.55115,37.995000000000005,0.5898749999999999,53.9725
2030,Bangladesh,Guava,0.647675,47.0375,0.7017,62.1325
2030,Bangladesh,Lentil,0.57415,34.9075,0.67465,50.89
2030,Bangladesh,Maize,0.62715,42.3125,0.69055,58.1025
2030,Bangladesh,Mango,0.6416000000000001,47.445,0.6706,61.94
2030,Bangladesh,Millet,0.5916,42.6075,0.681025,56.8475
2030,Bangladesh,Mung Bean,0.61995,40.5875,0.655,57.7025
2030,Bangladesh,Okra,0.54965,35.545,0.624225,50.165
2030,Bangladesh,Onion,0.729125,51.745,0.809075,68.7125
2030,Bangladesh,Pea,0.59645,44.22,0.6471750000000001,55.695
2030,Bangladesh,Pomegranate,0.60385,40.445,0.666225,58.425000000000004
2030,Bangladesh,Potato,0.6073500000000001,40.7375,0.61525,57.76
2030,Bangladesh,Rice,0.66345,47.035000000000004,0.7138249999999999,63.09
2030,Bangladesh,Sorghum,0.610475,45.1875,0.663675,61.405
2030,Bangladesh,Soybean,0.715975,53.4375,0.752625,67.6175
2030,Bangladesh,Sugarcane,0.5453,39.8075,0.599525,50.17
2030,Bangladesh,Sunflower,0.649125,48.8225,0.69215,64.6
2030,Bangladesh,Tea,0.5433,41.12,0.6221749999999999,57.2675
2030,Bangladesh,Tomato,0.728025,50.04,0.75615,66.3675
2030,Bangladesh,Wheat,0.652875,47.239999999999995,0.719525,65.35249999999999
2030,Brazil,Apple,0.6016250000000001,43.6275,0.623275,59.7475
2030,Brazil,Banana,0.661975,41.962500000000006,0.711075,60.207499999999996
2030,Brazil,Barley,0.59625,42.52,0.6664,58.269999999999996
2030,Brazil,Cabbage,0.659575,48.7875,0.727225,65.27499999999999
2030,Brazil,Canola,0.516475,36.63,0.601425,50.44
2030,Brazil,Carrot,0.52625,41.442499999999995,0.5751999999999999,56.025
2030,Brazil,Cauliflower,0.5554749999999999,38.005,0.608775,55.8675
2030,Brazil,Chickpea,0.631775,42.04,0.7021999999999999,60.045
2030,Brazil,Chili,0.655025,47.0925,0.740175,64.02000000000001
2030,Brazil,Citrus,0.6493,44.52,0.702275,62.74
2030,Brazil,Cocoa,0.5851500000000001,43.545,0.621975,61.2325
2030,Brazil,Coffee,0.6853,44.4425,0.754175,61.965
2030,Brazil,Cotton,0.6654249999999999,48.114999999999995,0.7291,63.605000000000004
2030,Brazil,Cucumber,0.622825,45.255,0.71245,61.48
2030,Brazil,Eggplant,0.6793750000000001,50.8125,0.732175,67.0325
2030,Brazil,Garlic,0.553425,38.4675,0.593375,56.1025
2030,Brazil,Grapes,0.66685,42.43,0.723575,62.1275
2030,Brazil,Groundnut,0.624375,44.9725,0.690925,62.385
2030,Brazil,Guava,0.627925,46.05,0.68485,62.0775
2030,Brazil,Lentil,0.6136250000000001,43.1975,0.6742,58.71
2030,Brazil,Maize,0.597225,44.9,0.66315,61.152499999999996
2030,Brazil,Mango,0.577775,35.972500000000004,0.6171,54.6475
2030,Brazil,Millet,0.624125,45.5375,0.6776,63.84
2030,Brazil,Mung Bean,0.5830500000000001,40.3525,0.64095,55.5025
2030,Brazil,Okra,0.700975,48.4775,0.763375,65.245
2030,Brazil,Onion,0.6275,43.917500000000004,0.660775,62.625
2030,Brazil,Pea,0.579675,40.004999999999995,0.663425,58.957499999999996
2030,Brazil,Pomegranate,0.538675,35.4825,0.634775,53.495000000000005
2030,Brazil,Potato,0.673475,45.7575,0.788,63.504999999999995
2030,Brazil,Rice,0.7116750000000001,49.7575,0.779775,69.1725
2030,Brazil,Sorghum,0.6594249999999999,47.32,0.7211,66.81
2030,Brazil,Soybean,0.68495,48.1075,0.6753,67.69749999999999
2030,Brazil,Sugarcane,0.57825,36.3975,0.627825,51.5875
2030,Brazil,Sunflower,0.619475,44.2,0.62955,62.5025
2030,Brazil,Tea,0.66135,43.805,0.680675,58.55
2030,Brazil,Tomato,0.665225,45.625,0.727675,63.7725
2030,Brazil,Wheat,0.72315,50.1225,0.80005,67.52250000000001
2030,Canada,Apple,0.481525,32.1025,0.4959,45.489999999999995
2030,Canada,Banana,0.5701,37.96,0.6025,55.445
2030,Canada,Barley,0.522975,38.510000000000005,0.548675,54.519999999999996
2030,Canada,Cabbage,0.62385,42.230000000000004,0.69555,57.165000000000006
2030,Canada,Canola,0.62385,45.88,0.6964,61.0875
2030,Canada,Carrot,0.532375,37.057500000000005,0.599,52.339999999999996
2030,Canada,Cauliflower,0.5444500000000001,38.775,0.60125,54.4225
2030,Canada,Chickpea,0.583675,37.2125,0.667975,53.6325
2030,Canada,Chili,0.5506,37.0925,0.596075,50.69
2030,Canada,Citrus,0.616625,42.58,0.687125,58.785000000000004
2030,Canada,Cocoa,0.48765000000000003,39.6075,0.568425,50.9875
2030,Canada,Coffee,0.559725,37.325,0.5972,54.16
2030,Canada,Cotton,0.5165,40.62,0.58845,50.71
2030,Canada,Cucumber,0.5217,35.769999999999996,0.5783,53.260000000000005
2030,Canada,Eggplant,0.515925,36.955,0.55335,52.4725
2030,Canada,Garlic,0.5556,39.3225,0.65815,54.942499999999995
2030,Canada,Grapes,0.527775,38.2225,0.5951500000000001,52.105000000000004
2030,Canada,Groundnut,0.5568,41.87,0.5890500000000001,59.3975
2030,Canada,Guava,0.548825,38.94,0.5844,54.86
2030,Canada,Lentil,0.51465,37.24,0.5553,54.042500000000004
2030,Canada,Maize,0.561225,41.019999999999996,0.622375,56.1075
2030,Canada,Mango,0.5452,39.4025,0.569225,54.8425
2030,Canada,Millet,0.477375,30.8925,0.520575,46.19
2030,Canada,Mung Bean,0.5305,42.0025,0.597275,57.9825
2030,Canada,Okra,0.47652500000000003,35.9675,0.5334,49.980000000000004
2030,Canada,Onion,0.502975,34.835,0.539425,49.3525
2030,Canada,Pea,0.48685,36.5575,0.532625,52.4675
2030,Canada,Pomegranate,0.54005,37.7725,0.547,52.255
2030,Canada,Potato,0.623,44.355000000000004,0.68435,60.85
2030,Canada,Rice,0.6534249999999999,48.3475,0.730225,62.59
2030,Canada,Sorghum,0.48175,34.0775,0.468275,49.05
2030,Canada,Soybean,0.546325,38.06,0.5516,55.4975
2030,Canada,Sugarcane,0.573925,42.65,0.5901,58.54
2030,Canada,Sunflower,0.50685,36.7175,0.547175,53.5975
2030,Canada,Tea,0.475275,36.135000000000005,0.5367500000000001,48.2825
2030,Canada,Tomato,0.524075,33.7275,0.584525,48.125
2030,Canada,Wheat,0.5674,36.2625,0.59165,53.4425
2030,China,Apple,0.577375,41.405,0.62795,57.8725
2030,China,Banana,0.625775,41.230000000000004,0.644825,58.71
2030,China,Barley,0.618825,41.36,0.70385,56.8425
2030,China,Cabbage,0.611525,43.255,0.6423,61.76
2030,China,Canola,0.62115,42.2775,0.676725,58.8325
2030,China,Carrot,0.54365,36.8625,0.568875,51.89
2030,China,Cauliflower,0.529975,38.125,0.551825,52.692499999999995
2030,China,Chickpea,0.698025,45.27,0.780975,64.785
2030,China,Chili,0.598175,45.8775,0.606775,59.5475
2030,China,Citrus,0.623325,41.32,0.622075,57.3225
2030,China,Cocoa,0.49977499999999997,38.225,0.54295,56.125
2030,China,Coffee,0.59135,38.3375,0.67355,53.735
2030,China,Cotton,0.5217,35.6025,0.567725,51.275
2030,China,Cucumber,0.59405,47.385000000000005,0.655775,63.505
2030,China,Eggplant,0.5399499999999999,39.932500000000005,0.598,55.25
2030,China,Garlic,0.541175,37.425,0.639175,53.3675
2030,China,Grapes,0.555675,37.685,0.6055,54.97
2030,China,Groundnut,0.6496999999999999,48.817499999999995,0.6861,66.525
2030,China,Guava,0.573875,41.120000000000005,0.6254500000000001,55.42
2030,China,Lentil,0.572975,37.989999999999995,0.6040749999999999,55.177499999999995
2030,China,Maize,0.5567,40.2925,0.552225,57.9075
2030,China,Mango,0.5144,32.215,0.55705,47.167500000000004
2030,China,Millet,0.48912500000000003,38.1775,0.5435749999999999,54.0075
2030,China,Mung Bean,0.495475,35.352500000000006,0.5277,52.207499999999996
2030,China,Okra,0.585975,44.2125,0.6413249999999999,60.525
2030,China,Onion,0.656575,46.325,0.706375,63.0525
2030,China,Pea,0.5682,40.99,0.58775,57.8075
2030,China,Pomegranate,0.5174,38.6275,0.5794250000000001,54.192499999999995
2030,China,Potato,0.6159250000000001,46.147499999999994,0.6648499999999999,64.125
2030,China,Rice,0.51965,35.9225,0.542275,52.555
2030,China,Sorghum,0.566075,36.115,0.57655,52.44
2030,China,Soybean,0.7011499999999999,53.552499999999995,0.7656499999999999,69.85
2030,China,Sugarcane,0.5772999999999999,42.364999999999995,0.629875,60.127500000000005
2030,China,Sunflower,0.5917749999999999,42.235,0.6442749999999999,62.57
2030,China,Tea,0.610175,42.724999999999994,0.682625,56.34
2030,China,Tomato,0.605825,40.74,0.6611,58.667500000000004
2030,China,Wheat,0.550275,39.265,0.58245,57.8575
2030,Colombia,Apple,0.55855,39.9525,0.63635,56.392500000000005
2030,Colombia,Banana,0.6432249999999999,44.8725,0.719925,63.152499999999996
2030,Colombia,Barley,0.61285,42.975,0.66435,59.2925
2030,Colombia,Cabbage,0.581525,38.9525,0.63575,54.614999999999995
2030,Colombia,Canola,0.651825,46.55,0.719025,64.00750000000001
2030,Colombia,Carrot,0.554775,41.542500000000004,0.60425,60.407500000000006
2030,Colombia,Cauliflower,0.528375,36.905,0.582075,54.427499999999995
2030,Colombia,Chickpea,0.6512249999999999,44.4375,0.706175,62.5125
2030,Colombia,Chili,0.59735,43.0575,0.65445,59.72
2030,Colombia,Citrus,0.6562250000000001,46.2,0.6866,63.4775
2030,Colombia,Cocoa,0.560375,36.09,0.6170249999999999,51.302499999999995
2030,Colombia,Coffee,0.723725,48.0775,0.780425,67.22749999999999
2030,Colombia,Cotton,0.569125,40.6725,0.6261749999999999,58.6775
2030,Colombia,Cucumber,0.65265,48.625,0.745825,66.0
2030,Colombia,Eggplant,0.535025,36.9225,0.565175,53.7775
2030,Colombia,Garlic,0.5943499999999999,41.715,0.680875,58.86
2030,Colombia,Grapes,0.576175,43.975,0.64645,61.1025
2030,Colombia,Groundnut,0.5262249999999999,36.49,0.5431250000000001,51.605
2030,Colombia,Guava,0.700325,47.4525,0.774975,67.2975
2030,Colombia,Lentil,0.582,40.9525,0.5925,58.045
2030,Colombia,Maize,0.625525,43.415,0.66815,60.11
2030,Colombia,Mango,0.6412,42.45,0.713625,59.1875
2030,Colombia,Millet,0.645975,42.9125,0.718975,60.964999999999996
2030,Colombia,Mung Bean,0.5931,41.3675,0.673825,59.945
